utc_time,utc_time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6,7,1018191463.6177679,58513611.18429056,2550005659.9055796,147794174.31749403,10936407.137687705,137338745.8397091,255836.9550520474,928282.6460799777,22838510.385824736,96103136.57739477,156831563.66819006,73365643.71328355,63373554.94432052,3239958.321692473,25352447.670763418,9838247.804255465,6285308.164831594,37596120.598828934,19291738.832669277,1934694.640434702,10475307.108775353,6833091.0226572445
6,8,998411826.8293017,60691569.904210754,2541249316.939132,143664076.35194954,10868109.828841038,135047731.25702113,108939.02875185286,938072.4459152494,22868651.486253724,96320359.97248206,152069587.74543646,74359806.917239,57719421.7489949,3167786.292737431,24265126.914646335,10229236.171723224,6395051.442105194,37058565.994520314,18763354.28321402,1958233.5173742226,10656860.934261508,6335955.099761833
6,9,1020075018.3999139,60693208.89220895,2553950730.781413,142773576.41229114,10676588.078527454,137416825.81626514,181913.76669221857,928010.2544127654,23210777.26925055,97248919.49430756,149405331.42783278,73497888.14979045,58047819.61354955,3215833.406330838,25213435.183686223,9719994.881357443,6625956.065743849,37375180.421752125,18364665.07552371,1907438.0013550792,10558400.88155094,6563536.308941899
6,10,1016846854.1587989,59041771.80775095,2537392052.6051,144416465.407177,11325439.167845523,138882708.23156872,101565.46856571235,906455.0999915153,21718551.598995842,92792368.4964677,143926835.621437,71242846.18968032,54637898.44015946,3118912.419329432,24510325.696021866,9953409.486680934,5816948.949704281,36896247.98776253,18561605.98815668,1910506.6989033178,9942354.754241277,6498793.921683337
6,11,1023194498.9281679,57295623.27750874,2501497286.6939683,155477473.10148036,10287649.498373028,138112737.08033484,128435.78805931773,883695.4790160893,21939497.371506985,92248284.52461098,145962739.70127314,70401501.84477787,54784301.60708984,3219029.5113980332,25614941.953291114,10337075.042537805,5764643.022249599,36141634.451064944,18207837.729329873,1877435.2707097344,10103709.459353603,6962132.6441223
6,12,1028793114.0596967,57334724.800909884,2520041204.429618,143741144.12862694,11361523.69245117,134668653.2875798,267907.31372680666,847917.9925642115,22136818.52476973,95639642.6328102,143308462.1719856,69553948.80105074,54355368.378710486,3173890.7328547793,24710965.669627894,10010763.488473145,5831059.55404311,35508873.2261517,17866593.660069197,1810295.9407386875,9947069.077458553,6389531.118654782
6,13,1050624005.4415729,57659985.84247091,2504535859.8249774,143520284.46892425,11089811.049921539,140330366.28874624,733039.2363942022,848091.006914744,21524826.94254247,100708498.0227951,143980189.7410756,70198206.60680978,58504080.26245489,3017387.5323681156,24850064.138489895,10441363.505915266,5907243.939521728,35689997.54401055,17755239.663399488,1600579.7549252291,10270279.543063564,6420573.488569086
6,14,1048712009.6372507,57453800.48088186,2506569753.0158973,143765707.3756064,10105921.934603775,135549380.73692,327151.88264270144,855053.9016299113,21750841.169492852,99499477.48334342,144797526.08321217,70846896.76703063,59335438.30198701,3021129.5435258625,26256501.515372682,10520379.995937774,6055059.186707294,36496897.77534583,17165604.64840441,1661137.0999100248,10416772.219066845,6714018.648163949
6,15,1033913533.4392964,55592531.33259299,2475976252.3614626,139961783.281118,10621520.084974624,142954772.2717692,464197.03694128897,869545.7081303434,21517146.19624091,100618724.95782076,140447270.3177219,72382412.54781781,56072089.727269,2974607.5501172445,26792456.137867317,10175485.96638908,5707115.218511147,37060028.11440496,17603165.85946946,1665532.0614581702,9961791.988326179,6470184.4229919
6,16,1034809609.9838275,56893215.459147796,2501804780.431304,139056435.63277587,11952239.794145264,143648592.8315806,290824.138451899,817740.5491286024,21382095.059897173,98299358.36327799,140193129.56450328,67685318.76547202,53644791.08271673,2975086.171960497,26560986.237277254,10017807.51280809,5604779.240680634,36109103.67565028,17394864.798554134,1680873.4896343271,10387732.386479415,6232859.425529693
6,17,1025650161.1634442,55212209.50764489,2503941082.095458,141011753.5623174,10712994.011220831,143098299.77983707,137830.28109734607,834999.7759462328,21439111.419327702,95651975.89131689,139341204.94879138,67487517.5097324,54307027.07927704,3080207.341906063,25745200.183815822,9921492.243419327,5450335.758735184,36249089.680833176,17019947.08663512,1789887.8129888957,11171976.50432436,6711945.153507397
6,18,1055420781.9810276,55939699.48515186,2496621147.4851656,149509185.26312006,10651539.166671127,144232708.12975776,447955.6189228015,814380.7161298448,20839984.909490824,99901783.66225943,135821861.01764423,67316636.61267152,52317897.08130856,3162158.893819361,26894916.39506018,10180348.014646797,5992191.605278196,36352833.00726981,16665643.892928785,1631738.819680389,10487352.042676348,6298354.620699717
6,19,1035706083.7551872,55488983.2866638,2493126833.3274612,144317055.9364217,10430829.205363775,140033970.51237828,335433.5571908899,865326.270081641,20918844.506468628,98932378.64912012,132338572.00661215,67009005.17884282,49500745.88577659,2923784.3966179504,26159528.033768293,10460728.565100938,6392546.546661052,35225257.8085465,16839605.09128908,1490133.9103095694,9846318.834930487,6275214.598797782
